FSA,Province,CMA,CMA_TYPE,CREA_BOARD
G9B,Quebec,Trois-Rivières,B,MAURICIE
G9C,Quebec,Trois-Rivières,B,MAURICIE
G9H,Quebec,Trois-Rivières,B,MAURICIE
G9N,Quebec,Shawinigan,D,
G9P,Quebec,Shawinigan,D,
G9R,Quebec,Shawinigan,D,
G9T,Quebec,Shawinigan,D,
G9X,Quebec,,,
H1A,Quebec,Montréal,B,MONTREAL_CMA
H1B,Quebec,Montréal,B,MONTREAL_CMA
H1C,Quebec,Montréal,B,MONTREAL_CMA
H1E,Quebec,Montréal,B,MONTREAL_CMA
H1G,Quebec,Montréal,B,MONTREAL_CMA
H1H,Quebec,Montréal,B,MONTREAL_CMA
H1J,Quebec,Montréal,B,MONTREAL_CMA
H1K,Quebec,Montréal,B,MONTREAL_CMA
H1L,Quebec,Montréal,B,MONTREAL_CMA
H1M,Quebec,Montréal,B,MONTREAL_CMA
H1N,Quebec,Montréal,B,MONTREAL_CMA
H1P,Quebec,Montréal,B,MONTREAL_CMA
H1R,Quebec,Montréal,B,MONTREAL_CMA
H1S,Quebec,Montréal,B,MONTREAL_CMA
H1T,Quebec,Montréal,B,MONTREAL_CMA
H1V,Quebec,Montréal,B,MONTREAL_CMA
H1W,Quebec,Montréal,B,MONTREAL_CMA
H1X,Quebec,Montréal,B,MONTREAL_CMA
H1Y,Quebec,Montréal,B,MONTREAL_CMA
H1Z,Quebec,Montréal,B,MONTREAL_CMA
H2A,Quebec,Montréal,B,MONTREAL_CMA
H2B,Quebec,Montréal,B,MONTREAL_CMA
H2C,Quebec,Montréal,B,MONTREAL_CMA
H2E,Quebec,Montréal,B,MONTREAL_CMA
H2G,Quebec,Montréal,B,MONTREAL_CMA
H2H,Quebec,Montréal,B,MONTREAL_CMA
H2J,Quebec,Montréal,B,MONTREAL_CMA
H2K,Quebec,Montréal,B,MONTREAL_CMA
H2L,Quebec,Montréal,B,MONTREAL_CMA
H2M,Quebec,Montréal,B,MONTREAL_CMA
H2N,Quebec,Montréal,B,MONTREAL_CMA
H2P,Quebec,Montréal,B,MONTREAL_CMA
H2R,Quebec,Montréal,B,MONTREAL_CMA
H2S,Quebec,Montréal,B,MONTREAL_CMA
H2T,Quebec,Montréal,B,MONTREAL_CMA
H2V,Quebec,Montréal,B,MONTREAL_CMA
H2W,Quebec,Montréal,B,MONTREAL_CMA
H2X,Quebec,Montréal,B,MONTREAL_CMA
H2Y,Quebec,Montréal,B,MONTREAL_CMA
H2Z,Quebec,Montréal,B,MONTREAL_CMA
H3A,Quebec,Montréal,B,MONTREAL_CMA
H3B,Quebec,Montréal,B,MONTREAL_CMA
H3C,Quebec,Montréal,B,MONTREAL_CMA
H3E,Quebec,Montréal,B,MONTREAL_CMA
H3G,Quebec,Montréal,B,MONTREAL_CMA
H3H,Quebec,Montréal,B,MONTREAL_CMA
H3J,Quebec,Montréal,B,MONTREAL_CMA
H3K,Quebec,Montréal,B,MONTREAL_CMA
H3L,Quebec,Montréal,B,MONTREAL_CMA
H3M,Quebec,Montréal,B,MONTREAL_CMA
H3N,Quebec,Montréal,B,MONTREAL_CMA
H3P,Quebec,Montréal,B,MONTREAL_CMA
H3R,Quebec,Montréal,B,MONTREAL_CMA
H3S,Quebec,Montréal,B,MONTREAL_CMA
H3T,Quebec,Montréal,B,MONTREAL_CMA
H3V,Quebec,Montréal,B,MONTREAL_CMA
H3W,Quebec,Montréal,B,MONTREAL_CMA
H3X,Quebec,Montréal,B,MONTREAL_CMA
H3Y,Quebec,Montréal,B,MONTREAL_CMA
H3Z,Quebec,Montréal,B,MONTREAL_CMA
H4A,Quebec,Montréal,B,MONTREAL_CMA
H4B,Quebec,Montréal,B,MONTREAL_CMA
H4C,Quebec,Montréal,B,MONTREAL_CMA
H4E,Quebec,Montréal,B,MONTREAL_CMA
H4G,Quebec,Montréal,B,MONTREAL_CMA
H4H,Quebec,Montréal,B,MONTREAL_CMA
H4J,Quebec,Montréal,B,MONTREAL_CMA
H4K,Quebec,Montréal,B,MONTREAL_CMA
H4L,Quebec,Montréal,B,MONTREAL_CMA
H4M,Quebec,Montréal,B,MONTREAL_CMA
H4N,Quebec,Montréal,B,MONTREAL_CMA
H4P,Quebec,Montréal,B,MONTREAL_CMA
H4R,Quebec,Montréal,B,MONTREAL_CMA
H4S,Quebec,Montréal,B,MONTREAL_CMA
H4T,Quebec,Montréal,B,MONTREAL_CMA
H4V,Quebec,Montréal,B,MONTREAL_CMA
H4W,Quebec,Montréal,B,MONTREAL_CMA
H4X,Quebec,Montréal,B,MONTREAL_CMA
H7A,Quebec,Montréal,B,MONTREAL_CMA
H7B,Quebec,Montréal,B,MONTREAL_CMA
H7C,Quebec,Montréal,B,MONTREAL_CMA
H7E,Quebec,Montréal,B,MONTREAL_CMA
H7G,Quebec,Montréal,B,MONTREAL_CMA
H7H,Quebec,Montréal,B,MONTREAL_CMA
H7J,Quebec,Montréal,B,MONTREAL_CMA
H7K,Quebec,Montréal,B,MONTREAL_CMA
H7L,Quebec,Montréal,B,MONTREAL_CMA
H7M,Quebec,Montréal,B,MONTREAL_CMA
H7N,Quebec,Montréal,B,MONTREAL_CMA
H7P,Quebec,Montréal,B,MONTREAL_CMA
H7R,Quebec,Montréal,B,MONTREAL_CMA
H7S,Quebec,Montréal,B,MONTREAL_CMA
H7T,Quebec,Montréal,B,MONTREAL_CMA
H7V,Quebec,Montréal,B,MONTREAL_CMA
H7W,Quebec,Montréal,B,MONTREAL_CMA
H7X,Quebec,Montréal,B,MONTREAL_CMA
H7Y,Quebec,Montréal,B,MONTREAL_CMA
H8N,Quebec,Montréal,B,MONTREAL_CMA
H8P,Quebec,Montréal,B,MONTREAL_CMA
H8R,Quebec,Montréal,B,MONTREAL_CMA
H8S,Quebec,Montréal,B,MONTREAL_CMA
H8T,Quebec,Montréal,B,MONTREAL_CMA
H8Y,Quebec,Montréal,B,MONTREAL_CMA
H8Z,Quebec,Montréal,B,MONTREAL_CMA
H9A,Quebec,Montréal,B,MONTREAL_CMA
H9B,Quebec,Montréal,B,MONTREAL_CMA
H9C,Quebec,Montréal,B,MONTREAL_CMA
H9E,Quebec,Montréal,B,MONTREAL_CMA
H9G,Quebec,Montréal,B,MONTREAL_CMA
H9H,Quebec,Montréal,B,MONTREAL_CMA
H9J,Quebec,Montréal,B,MONTREAL_CMA
H9K,Quebec,Montréal,B,MONTREAL_CMA
H9P,Quebec,Montréal,B,MONTREAL_CMA
H9R,Quebec,Montréal,B,MONTREAL_CMA
H9S,Quebec,Montréal,B,MONTREAL_CMA
H9W,Quebec,Montréal,B,MONTREAL_CMA
H9X,Quebec,Montréal,B,MONTREAL_CMA
J0A,Quebec,,,
J0B,Quebec,,,
