timestamp_utc,timestamp_local,lot_id,address,lot_type,capacity,free_spaces,free_accessible,occupancy_pct,downtown,error
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,4,70 Clarence St.,Enclosed,289,185,3,36.0,True,
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,5,141 Clarence St.,Enclosed,461,221,4,52.1,True,
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,6,110 Laurier Ave.,Enclosed,850,275,4,67.6,True,
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,8,170 Second Ave.,Enclosed,146,76,6,47.9,False,
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,9,234-250 Slater St.,Surface,65,,N/A,,True,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,10,574 Bank St.,Surface,19,,N/A,,True,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,11,687 Somerset St. W,Surface,46,,N/A,,False,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,20,400 North River Rd.,Surface,79,,N/A,,False,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,22,283 Cyr Ave.,Surface,25,,N/A,,False,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,14,301 Preston St.,Surface,62,,N/A,,False,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,30,789 Trim Rd.,Surface,274,,N/A,,False,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,13,366 Parkdale Ave.,Surface,20,,N/A,,False,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,23,2950 Riverside Dr.,Surface,186,,N/A,,False,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,18,422 Slater St.,Enclosed,10,,N/A,,True,no freeSpaces in feed
2026-07-26T22:00:19Z,2026-07-26T18:00:19-0400,3333,210 Gloucester St.,Enclosed,213,84,6,60.6,True,
2026-07-26T22:00:19Z,2026-07-26T18:00:19-0400,4,70 Clarence St.,Enclosed,289,168,3,41.9,True,
2026-07-26T22:00:19Z,2026-07-26T18:00:19-0400,5,141 Clarence St.,Enclosed,461,205,4,55.5,True,
2026-07-26T22:00:19Z,2026-07-26T18:00:19-0400,6,110 Laurier Ave.,Enclosed,850,302,4,64.5,True,
