timestamp_utc,timestamp_local,corridor_id,direction,travel_time_s,traffic_delay_s,distance_m,error
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,riverside,to_downtown,1755,0,19265,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,riverside,from_downtown,1671,0,17686,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,kanata,to_downtown,1818,588,22983,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,kanata,from_downtown,1077,0,22526,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,orleans,to_downtown,1452,209,18013,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,orleans,from_downtown,1168,0,19244,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,barrhaven,to_downtown,2164,0,22161,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,barrhaven,from_downtown,1698,0,26858,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,gatineau,to_downtown,1005,0,9439,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,gatineau,from_downtown,911,0,9462,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,riverside,to_downtown,1892,184,19265,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,riverside,from_downtown,1656,0,17686,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,kanata,to_downtown,1444,240,22983,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,kanata,from_downtown,1069,0,22526,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,orleans,to_downtown,1220,8,18013,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,orleans,from_downtown,1172,0,19244,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,barrhaven,to_downtown,1940,230,27073,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,barrhaven,from_downtown,1676,0,27565,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,gatineau,to_downtown,977,0,9439,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,gatineau,from_downtown,939,0,9998,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,riverside,to_downtown,1582,0,17546,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,riverside,from_downtown,1561,0,17322,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,kanata,to_downtown,1248,45,22983,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,kanata,from_downtown,1073,0,22526,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,orleans,to_downtown,1220,0,17891,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,orleans,from_downtown,1183,0,19244,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,barrhaven,to_downtown,1759,45,27073,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,barrhaven,from_downtown,1669,0,27556,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,gatineau,to_downtown,976,0,9439,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,gatineau,from_downtown,949,0,9998,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,riverside,to_downtown,1572,0,17546,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,riverside,from_downtown,1565,0,17322,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,kanata,to_downtown,1351,147,22983,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,kanata,from_downtown,1074,0,22526,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,orleans,to_downtown,1224,0,17891,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,orleans,from_downtown,1182,0,19244,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,barrhaven,to_downtown,1793,50,27073,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,barrhaven,from_downtown,1661,0,27556,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,gatineau,to_downtown,969,0,9439,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,gatineau,from_downtown,928,0,9462,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,riverside,to_downtown,1560,0,17546,
2026-07-07T16:13:02Z,2026-07-07T12:13:02-0400,riverside,from_downtown,1565,0,17322,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,kanata,to_downtown,1577,365,22983,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,kanata,from_downtown,1084,0,22526,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,orleans,to_downtown,1213,0,17891,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,orleans,from_downtown,1190,0,19244,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,barrhaven,to_downtown,2071,0,20979,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,barrhaven,from_downtown,1674,0,27556,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,gatineau,to_downtown,974,0,9439,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,gatineau,from_downtown,930,0,9462,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,riverside,to_downtown,1578,0,17546,
2026-07-07T17:13:13Z,2026-07-07T13:13:13-0400,riverside,from_downtown,1583,0,17322,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,kanata,to_downtown,1604,389,22983,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,kanata,from_downtown,1117,0,22526,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,orleans,to_downtown,1206,0,17891,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,orleans,from_downtown,1198,0,19244,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,barrhaven,to_downtown,2094,0,20979,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,barrhaven,from_downtown,1712,0,27556,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,gatineau,to_downtown,949,0,9421,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,gatineau,from_downtown,991,0,9462,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,riverside,to_downtown,1574,0,17546,
2026-07-07T18:13:25Z,2026-07-07T14:13:25-0400,riverside,from_downtown,1631,0,17322,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,kanata,to_downtown,1937,670,22983,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,kanata,from_downtown,1477,232,22526,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,orleans,to_downtown,1334,79,17891,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,orleans,from_downtown,1417,0,19244,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,barrhaven,to_downtown,2210,0,20979,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,barrhaven,from_downtown,2123,229,27556,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,gatineau,to_downtown,983,0,9421,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,gatineau,from_downtown,1931,847,10048,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,riverside,to_downtown,1633,0,17546,
2026-07-07T19:13:35Z,2026-07-07T15:13:35-0400,riverside,from_downtown,1827,0,17322,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,kanata,to_downtown,2059,709,22983,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,kanata,from_downtown,2190,0,23498,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,orleans,to_downtown,1416,169,17891,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,orleans,from_downtown,1962,654,19244,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,barrhaven,to_downtown,2344,0,23478,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,barrhaven,from_downtown,2660,0,21212,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,gatineau,to_downtown,1017,0,9421,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,gatineau,from_downtown,1922,777,10048,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,riverside,to_downtown,1677,0,17546,
2026-07-07T19:43:48Z,2026-07-07T15:43:48-0400,riverside,from_downtown,2012,0,17076,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,kanata,to_downtown,1978,637,22980,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,kanata,from_downtown,2431,211,23498,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,orleans,to_downtown,1457,158,18543,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,orleans,from_downtown,2130,825,19244,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,barrhaven,to_downtown,2418,107,22161,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,barrhaven,from_downtown,2896,152,20939,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,gatineau,to_downtown,1112,52,9439,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,gatineau,from_downtown,2166,1148,9998,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,riverside,to_downtown,1736,67,17546,
2026-07-07T19:58:59Z,2026-07-07T15:58:59-0400,riverside,from_downtown,2215,169,17240,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,kanata,to_downtown,2094,752,22980,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,kanata,from_downtown,2498,176,23498,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,orleans,to_downtown,1407,0,18543,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,orleans,from_downtown,2586,279,19970,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,barrhaven,to_downtown,2418,0,22161,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,barrhaven,from_downtown,3031,176,20939,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,gatineau,to_downtown,1089,37,9050,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,gatineau,from_downtown,2123,946,10048,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,riverside,to_downtown,1756,0,17546,
2026-07-07T20:14:10Z,2026-07-07T16:14:10-0400,riverside,from_downtown,2216,0,17296,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,kanata,to_downtown,2179,848,22978,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,kanata,from_downtown,2416,1154,22526,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,orleans,to_downtown,1473,199,17891,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,orleans,from_downtown,2646,548,22673,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,barrhaven,to_downtown,2549,679,28959,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,barrhaven,from_downtown,3204,114,24374,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,gatineau,to_downtown,1195,53,9687,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,gatineau,from_downtown,2134,993,10048,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,riverside,to_downtown,1795,39,17546,
2026-07-07T20:29:20Z,2026-07-07T16:29:20-0400,riverside,from_downtown,2325,46,17204,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,kanata,to_downtown,2283,710,24178,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,kanata,from_downtown,2425,0,23498,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,orleans,to_downtown,1579,256,18543,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,orleans,from_downtown,2525,1101,18033,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,barrhaven,to_downtown,2490,73,23478,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,barrhaven,from_downtown,2950,95,20939,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,gatineau,to_downtown,1084,0,9421,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,gatineau,from_downtown,2176,1033,10048,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,riverside,to_downtown,1866,0,19038,
2026-07-07T20:44:30Z,2026-07-07T16:44:30-0400,riverside,from_downtown,2355,104,18652,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,kanata,to_downtown,2047,682,22983,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,kanata,from_downtown,2419,149,23498,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,orleans,to_downtown,1543,225,18543,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,orleans,from_downtown,2283,813,19261,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,barrhaven,to_downtown,2477,617,28959,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,barrhaven,from_downtown,2988,0,22545,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,gatineau,to_downtown,1091,0,9050,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,gatineau,from_downtown,1957,602,10642,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,riverside,to_downtown,1845,113,17546,
2026-07-07T20:59:39Z,2026-07-07T16:59:39-0400,riverside,from_downtown,2333,203,19103,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,kanata,to_downtown,1911,522,22983,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,kanata,from_downtown,2442,0,23653,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,orleans,to_downtown,1397,87,18664,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,orleans,from_downtown,2270,965,19244,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,barrhaven,to_downtown,2350,483,28959,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,barrhaven,from_downtown,2864,0,22683,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,gatineau,to_downtown,1091,0,9421,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,gatineau,from_downtown,1865,770,9998,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,riverside,to_downtown,1780,0,17546,
2026-07-07T21:14:49Z,2026-07-07T17:14:49-0400,riverside,from_downtown,2124,0,17155,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,kanata,to_downtown,2024,719,23242,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,kanata,from_downtown,2253,0,23498,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,orleans,to_downtown,1323,0,18664,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,orleans,from_downtown,1971,656,19244,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,barrhaven,to_downtown,2407,0,23478,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,barrhaven,from_downtown,2746,0,22604,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,gatineau,to_downtown,1123,0,9687,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,gatineau,from_downtown,1599,505,9998,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,riverside,to_downtown,1808,0,17413,
2026-07-07T21:29:58Z,2026-07-07T17:29:58-0400,riverside,from_downtown,2052,0,17076,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,kanata,to_downtown,1938,660,22983,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,kanata,from_downtown,2117,946,22526,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,orleans,to_downtown,1239,0,18109,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,orleans,from_downtown,1723,435,19244,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,barrhaven,to_downtown,2367,0,23478,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,barrhaven,from_downtown,2538,0,20446,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,gatineau,to_downtown,1080,0,9439,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,gatineau,from_downtown,1544,459,9998,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,riverside,to_downtown,1720,0,17546,
2026-07-07T21:45:10Z,2026-07-07T17:45:10-0400,riverside,from_downtown,1961,0,17076,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,kanata,to_downtown,1799,553,22983,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,kanata,from_downtown,1645,497,22526,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,orleans,to_downtown,1216,0,18013,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,orleans,from_downtown,1452,196,19244,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,barrhaven,to_downtown,2336,553,28959,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,barrhaven,from_downtown,2303,389,22382,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,gatineau,to_downtown,1049,0,9439,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,gatineau,from_downtown,1344,292,9998,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,riverside,to_downtown,1682,0,17546,
2026-07-07T22:00:19Z,2026-07-07T18:00:19-0400,riverside,from_downtown,1843,0,17322,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,kanata,to_downtown,1672,458,23242,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,kanata,from_downtown,1360,243,22526,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,orleans,to_downtown,1174,0,18013,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,orleans,from_downtown,1191,0,19244,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,barrhaven,to_downtown,2120,0,20979,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,barrhaven,from_downtown,1980,163,22382,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,gatineau,to_downtown,990,0,9439,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,gatineau,from_downtown,1055,70,9998,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,riverside,to_downtown,1633,0,17413,
2026-07-07T22:15:29Z,2026-07-07T18:15:29-0400,riverside,from_downtown,1697,0,17322,
2026-07-07T22:30:39Z,2026-07-07T18:30:39-0400,kanata,to_downtown,1482,287,22983,
2026-07-07T22:30:39Z,2026-07-07T18:30:39-0400,kanata,from_downtown,1133,40,22526,
2026-07-07T22:30:39Z,2026-07-07T18:30:39-0400,orleans,to_downtown,1179,0,18013,
2026-07-07T22:30:39Z,2026-07-07T18:30:39-0400,orleans,from_downtown,1175,0,19244,
