HOUSEID,FSA,PT,YearBuilt,FloorArea,BldgType,Storeys,FoundationType,Pre_Date,Post_Date,Pre_TotalEnergy,Post_TotalEnergy,Pre_HeatEnergy,Post_HeatEnergy,Pre_Electricity,Post_Electricity,Pre_NaturalGas,Post_NaturalGas,Pre_Oil,Post_Oil,Pre_Propane,Post_Propane,Pre_Wood,Post_Wood,Pre_AirLeakage,Post_AirLeakage,Pre_RoofInsulation,Post_RoofInsulation,Pre_WallInsulation,Post_WallInsulation,Pre_FoundationInsulation,Post_FoundationInsulation,Pre_FloorInsulation,Post_FloorInsulation,Pre_WindowCode,Post_WindowCode,Pre_HeatFuel,Post_HeatFuel,Pre_HeatType,Post_HeatType,Pre_HeatAFUE,Post_HeatAFUE,Pre_HeatSeasonalCOP,Post_HeatSeasonalCOP,Pre_HPType,Post_HPType,Pre_HPCOP,Post_HPCOP,Wall_Insulation_Upgrade,Roof_Insulation_Upgrade,Foundation_Insulation_Upgrade,Floor_Insulation_Upgrade,Windows_Change,Air_Tightness_Upgrade,Heating_Change,Cooling_Change,HeatPump_Addition,Shallow_Retrofit,Medium_Retrofit,Deep_Retrofit,EnergySavingPct,HeatEnergySavingPct,FuelSwitch
321569.0,C0B,PE,1955,76.6,Single detached,One storey,B1,2007-10-01,2011-03-01,27901.67,21065.59,13381.8,8102.51,27901.4,21065.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,5.2097,3.35,6.95,1.87,1.87,0.05,1.79,0.0,0.0,100002,233224,Electricity,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,Baseboard/Hydronic/Plenum(duct) htrs.,0.0,0.0,100.0,100.0,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,True,True,False,False,False,False,True,False,0.25,0.39,False
292097.0,C0B,PE,1970,201.9,Single detached,One storey,B1;B2,2007-05-01,2011-03-01,55195.77,34426.16,40303.99,16875.97,14891.6,9148.5,0.0,0.0,38416.26,24093.42,0.0,0.0,0.0,0.0,9.47,3.3708,2.16,7.25,2.21,2.21,0.29,2.33,0.0,0.0,200045,233245,Oil,Oil,Furnace,Furnace with flame retention head,0.0,81.0,69.2,78.6,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,True,True,True,False,False,False,True,False,0.38,0.58,False
295764.0,C1A,PE,1890,430.4,Single detached,Three storeys,B1;B2,2007-07-01,2011-03-01,150393.95,107187.72,134278.07,91728.65,16115.7,15458.9,0.0,0.0,127988.58,87432.36,0.0,0.0,0.0,0.0,9.66,5.8103,2.04,6.16,0.67,0.86,0.05,0.41,0.0,0.0,200002,233224,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,80.5,80.6,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,True,False,True,True,False,False,False,False,True,False,0.29,0.32,False
485766.0,C0B,PE,1986,72.9,Mobile home,One storey,C1;F1,2008-10-01,2008-12-01,30408.83,29248.35,15968.88,14813.23,30408.6,29248.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2187,2.8911,3.07,3.07,1.96,1.96,0.38,0.38,0.0,0.0,200000,233224.0,Electricity,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,Baseboard/Hydronic/Plenum(duct) htrs.,0.0,0.0,100.0,100.0,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,0.04,0.07,False
391149.0,C0B,PE,2003,79.3,Single detached,One storey,,2008-03-01,2008-05-01,33880.08,27952.22,13220.69,13494.22,9142.6,9197.8,0.0,0.0,23578.32,0.0,0.0,18703.73,0.0,0.0,2.3853,2.0824,7.32,7.32,2.3,1.1,0.0,0.0,0.0,0.0,200004,200004,Oil,Propane,Boiler  with flame retention head,Condensing boiler,0.0,92.7,78.9,92.8,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,False,False,False,True,True,False,False,False,True,False,0.17,-0.02,True
472593.0,C1E,PE,1999,243.6,Single detached,One storey,B1,2008-08-01,2008-09-01,58955.97,44364.38,35807.12,21406.14,9424.0,9238.6,0.0,0.0,45107.46,31381.32,2202.07,2197.1,0.0,0.0,3.2708,2.8935,3.61,3.61,2.75,2.75,0.33,5.41,0.0,0.0,200004,200004,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,85.0,85.0,82.9,82.4,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,True,False,False,True,False,False,False,False,True,False,0.25,0.4,False
399381.0,C1A,PE,1920,219.1,Single detached,Two storeys,B1,2008-05-01,2008-10-01,87927.79,57067.21,64468.38,34125.11,9763.0,9288.8,0.0,0.0,72426.12,43504.02,2173.7,2130.44,0.0,0.0,10.838,8.8429,5.14,5.14,0.99,2.22,0.05,2.03,1.0,1.0,200002,200002,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,80.7,80.5,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,False,True,False,False,True,False,False,False,False,True,False,0.35,0.47,False
442790.0,C0A,PE,1999,275.1,Single detached,One storey,B1,2008-07-01,2008-10-01,38605.95,25655.21,18445.31,5796.69,9382.6,14594.3,0.0,0.0,25751.94,8827.08,2199.94,1795.69,0.0,0.0,1.9842,1.8926,3.94,6.89,2.96,2.96,2.08,2.08,0.0,0.0,223204,223204,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,80.0,217.5,N/A {no Heat Pump},Air,0.0,3.562,False,True,False,False,False,False,False,True,True,False,True,False,0.34,0.69,False
454503.0,C1N,PE,1958,135.0,Single detached,One storey,B1,2008-07-01,2008-12-01,39556.98,36101.98,19967.44,16577.33,9145.3,9052.1,0.0,0.0,27251.34,24047.52,1816.26,1815.55,0.0,0.0,4.9099,4.7601,3.42,10.57,1.92,1.92,0.05,0.44,0.0,0.0,200004,200004.0,Oil,Oil,Furnace with flame retention head,Mid-efficiency furnace (no dil. air),0.0,85.3,79.3,81.9,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,True,False,True,False,False,True,False,False,0.09,0.17,False
473567.0,C1B,PE,1958,99.6,"Row house, end unit",One storey,,2008-08-01,2008-10-01,32253.98,31973.56,9380.94,9083.6,9081.4,9101.3,0.0,0.0,19918.56,19635.0,2268.73,2265.89,0.0,0.0,3.1744,2.4539,4.57,4.57,2.78,2.78,0.0,0.0,0.0,0.0,200004,200004,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,81.2,81.1,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,False,False,False,True,False,False,False,True,False,False,0.01,0.03,False
