ObjectId,Data_Type,Location,Camera_Install_Year,Date_of_Data_Collection,AvgSpeed,Pct85th,PctCompliance,PctHighEndSpeeders
75,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Nov-23","44",50,85,0.4
76,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Nov-23","36",41,85,0.5
77,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Dec-23","36",40,86,0.2
78,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Dec-23","55",61,82,0.5
79,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Dec-23","35",42,80,0.6
80,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Dec-23","37",43,78,2
81,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Dec-23","37",41,82,0.5
82,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Dec-23","46",52,80,0.5
83,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Dec-23","44",51,85,0.5
84,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Dec-23","36",41,85,0.6
85,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Jan-24","35",40,89,0.1
86,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Jan-24","54",60,85,0.4
87,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Jan-24","35",41,83,0.4
88,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Jan-24","36",42,80,1.4
89,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Jan-24","36",40,85,0.3
90,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Jan-24","45",51,83,0.4
91,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Jan-24","43",50,88,0.3
92,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Jan-24","36",40,86,0.4
93,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Feb-24","36",40,88,0.2
94,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Feb-24","55",61,83,0.5
95,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Feb-24","35",42,81,0.6
96,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Feb-24","37",42,79,1.8
97,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Feb-24","36",41,84,0.4
98,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Feb-24","46",51,81,0.5
99,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Feb-24","43",50,88,0.3
100,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Feb-24","36",40,85,0.5
101,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Jul-21","49",56,64,2.3
102,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Jul-21","39",45,65,2.2
103,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Aug-21","40",45,63,1.2
104,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Aug-21","59",66,64,1.8
105,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Aug-21","38",46,66,1.8
106,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Aug-21","41",50,59,6
107,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Aug-21","40",46,61,2.2
108,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Aug-21","50",57,60,2.6
109,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Aug-21","49",56,65,2.3
110,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Aug-21","39",45,67,2
111,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Sep-21","39",44,68,0.9
112,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Sep-21","58",65,67,1.5
113,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Sep-21","37",46,69,1.7
114,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Sep-21","40",49,63,4.8
115,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Sep-21","39",44,68,1.3
116,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Sep-21","48",56,66,2.1
117,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Sep-21","47",55,70,1.8
118,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Sep-21","38",44,71,1.8
119,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Oct-21","39",44,70,0.8
120,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Oct-21","58",65,68,1.5
121,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Oct-21","37",46,69,1.8
122,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Oct-21","40",49,63,5.1
123,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Oct-21","39",44,69,1.5
124,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Oct-21","49",56,66,2.1
125,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Oct-21","47",55,71,1.7
126,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Oct-21","38",44,72,1.7
127,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Nov-21","38",43,72,0.8
128,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Nov-21","58",65,69,1.5
129,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Nov-21","37",45,70,1.7
130,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Nov-21","39",48,66,4.3
131,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Nov-21","39",44,69,1.5
132,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Nov-21","49",56,66,2.3
133,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Nov-21","47",54,72,1.7
134,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Nov-21","38",43,74,1.6
135,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Dec-21","38",43,74,0.6
136,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Dec-21","57",64,74,1.2
137,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Dec-21","37",45,71,1.4
138,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Dec-21","39",47,67,3.7
139,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Dec-21","38",44,72,1.3
140,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Dec-21","48",55,70,1.6
141,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Dec-21","46",54,74,1.6
142,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Dec-21","38",43,75,1.6
143,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Jan-22","37",42,77,0.6
144,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Jan-22","57",64,73,1.3
145,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Jan-22","37",45,72,1.4
146,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Jan-22","38",47,70,3.5
147,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Jan-22","38",44,73,1.5
148,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Jan-22","47",54,71,1.5
149,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Jan-22","46",54,75,1.5
150,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Jan-22","38",43,74,1.7
151,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Jan-21","40",47,58,3.2
152,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Jan-21","N/A",0,0,0
153,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Jan-21","49",57,61,3.4
154,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Jan-21","39",45,65,2.7
155,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Feb-21","39",45,66,1.1
156,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Feb-21","57",65,68,1.7
157,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Feb-21","37",46,68,0.2
158,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Feb-21","41",51,55,6.3
159,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Feb-21","38",45,69,1.7
160,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Feb-21","49",57,60,2.9
161,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Feb-21","47",55,70,2.1
162,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Feb-21","39",44,70,1.9
163,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Mar-21","40",45,63,1.2
164,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Mar-21","59",66,63,2.1
165,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Mar-21","38",47,65,2.4
166,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Mar-21","41",51,56,6.4
167,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Mar-21","40",46,63,2.1
168,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Mar-21","50",58,55,3.7
169,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Mar-21","48",56,67,2.4
