FSA,Bracket,Number
G2K,"$100,000 to $149,999",790
G2K,"$150,000 to $249,999",280
G2K,"$250,000 and over",180
G2L,"Under $5,000",470
G2L,"$5,000 to $9,999",460
G2L,"$10,000 to $14,999",670
G2L,"$15,000 to $19,999",700
G2L,"$20,000 to $24,999",780
G2L,"$25,000 to $29,999",610
G2L,"$30,000 to $34,999",640
G2L,"$35,000 to $39,999",790
G2L,"$40,000 to $44,999",720
G2L,"$45,000 to $49,999",840
G2L,"$50,000 to $54,999",690
G2L,"$55,000 to $59,999",620
G2L,"$60,000 to $69,999",980
G2L,"$70,000 to $79,999",770
G2L,"$80,000 to $89,999",680
G2L,"$90,000 to $99,999",450
G2L,"$100,000 to $149,999",760
G2L,"$150,000 to $249,999",250
G2L,"$250,000 and over",80
G2M,"Under $5,000",150
G2M,"$5,000 to $9,999",170
G2M,"$10,000 to $14,999",210
G2M,"$15,000 to $19,999",220
G2M,"$20,000 to $24,999",230
G2M,"$25,000 to $29,999",220
G2M,"$30,000 to $34,999",230
G2M,"$35,000 to $39,999",270
G2M,"$40,000 to $44,999",260
G2M,"$45,000 to $49,999",290
G2M,"$50,000 to $54,999",270
G2M,"$55,000 to $59,999",240
G2M,"$60,000 to $69,999",370
G2M,"$70,000 to $79,999",270
G2M,"$80,000 to $89,999",300
G2M,"$90,000 to $99,999",190
G2M,"$100,000 to $149,999",300
G2M,"$150,000 to $249,999",80
G2M,"$250,000 and over",20
G2N,"Under $5,000",250
G2N,"$5,000 to $9,999",220
G2N,"$10,000 to $14,999",360
G2N,"$15,000 to $19,999",370
G2N,"$20,000 to $24,999",420
G2N,"$25,000 to $29,999",340
G2N,"$30,000 to $34,999",390
G2N,"$35,000 to $39,999",430
G2N,"$40,000 to $44,999",470
G2N,"$45,000 to $49,999",450
G2N,"$50,000 to $54,999",360
G2N,"$55,000 to $59,999",380
G2N,"$60,000 to $69,999",590
G2N,"$70,000 to $79,999",470
G2N,"$80,000 to $89,999",360
G2N,"$90,000 to $99,999",220
G2N,"$100,000 to $149,999",310
G2N,"$150,000 to $249,999",70
G2N,"$250,000 and over",20
G3A,"Under $5,000",700
G3A,"$5,000 to $9,999",700
G3A,"$10,000 to $14,999",840
G3A,"$15,000 to $19,999",830
G3A,"$20,000 to $24,999",880
G3A,"$25,000 to $29,999",670
G3A,"$30,000 to $34,999",690
G3A,"$35,000 to $39,999",840
G3A,"$40,000 to $44,999",820
G3A,"$45,000 to $49,999",980
G3A,"$50,000 to $54,999",830
G3A,"$55,000 to $59,999",810
G3A,"$60,000 to $69,999",1360
G3A,"$70,000 to $79,999",1160
G3A,"$80,000 to $89,999",980
G3A,"$90,000 to $99,999",760
G3A,"$100,000 to $149,999",1670
G3A,"$150,000 to $249,999",690
G3A,"$250,000 and over",430
G3B,"Under $5,000",310
G3B,"$5,000 to $9,999",290
G3B,"$10,000 to $14,999",310
G3B,"$15,000 to $19,999",290
G3B,"$20,000 to $24,999",240
G3B,"$25,000 to $29,999",230
G3B,"$30,000 to $34,999",250
G3B,"$35,000 to $39,999",250
G3B,"$40,000 to $44,999",290
G3B,"$45,000 to $49,999",320
G3B,"$50,000 to $54,999",290
G3B,"$55,000 to $59,999",290
G3B,"$60,000 to $69,999",510
G3B,"$70,000 to $79,999",420
G3B,"$80,000 to $89,999",430
G3B,"$90,000 to $99,999",310
G3B,"$100,000 to $149,999",800
G3B,"$150,000 to $249,999",350
G3B,"$250,000 and over",220
G3C,"Under $5,000",340
G3C,"$5,000 to $9,999",300
G3C,"$10,000 to $14,999",400
G3C,"$15,000 to $19,999",420
G3C,"$20,000 to $24,999",360
G3C,"$25,000 to $29,999",370
G3C,"$30,000 to $34,999",360
G3C,"$35,000 to $39,999",400
G3C,"$40,000 to $44,999",430
G3C,"$45,000 to $49,999",480
G3C,"$50,000 to $54,999",430
G3C,"$55,000 to $59,999",390
G3C,"$60,000 to $69,999",670
G3C,"$70,000 to $79,999",550
G3C,"$80,000 to $89,999",480
G3C,"$90,000 to $99,999",310
G3C,"$100,000 to $149,999",590
G3C,"$150,000 to $249,999",170
G3C,"$250,000 and over",60
G3E,"Under $5,000",510
G3E,"$5,000 to $9,999",510
G3E,"$10,000 to $14,999",650
G3E,"$15,000 to $19,999",660
G3E,"$20,000 to $24,999",710
G3E,"$25,000 to $29,999",600
G3E,"$30,000 to $34,999",690
G3E,"$35,000 to $39,999",720
G3E,"$40,000 to $44,999",790
G3E,"$45,000 to $49,999",870
G3E,"$50,000 to $54,999",760
G3E,"$55,000 to $59,999",690
G3E,"$60,000 to $69,999",1120
G3E,"$70,000 to $79,999",960
G3E,"$80,000 to $89,999",800
G3E,"$90,000 to $99,999",480
G3E,"$100,000 to $149,999",770
G3E,"$150,000 to $249,999",160
G3E,"$250,000 and over",40
G3G,"Under $5,000",310
G3G,"$5,000 to $9,999",310
G3G,"$10,000 to $14,999",490
G3G,"$15,000 to $19,999",510
G3G,"$20,000 to $24,999",550
G3G,"$25,000 to $29,999",460
G3G,"$30,000 to $34,999",520
G3G,"$35,000 to $39,999",570
G3G,"$40,000 to $44,999",600
G3G,"$45,000 to $49,999",590
G3G,"$50,000 to $54,999",480
G3G,"$55,000 to $59,999",430
G3G,"$60,000 to $69,999",730
G3G,"$70,000 to $79,999",550
G3G,"$80,000 to $89,999",360
G3G,"$90,000 to $99,999",230
G3G,"$100,000 to $149,999",300
G3G,"$150,000 to $249,999",40
G3G,"$250,000 and over",20
G3H,"Under $5,000",300
G3H,"$5,000 to $9,999",310
G3H,"$10,000 to $14,999",520
G3H,"$15,000 to $19,999",550
G3H,"$20,000 to $24,999",610
G3H,"$25,000 to $29,999",480
G3H,"$30,000 to $34,999",480
G3H,"$35,000 to $39,999",520
G3H,"$40,000 to $44,999",510
G3H,"$45,000 to $49,999",510
G3H,"$50,000 to $54,999",440
G3H,"$55,000 to $59,999",420
G3H,"$60,000 to $69,999",640
G3H,"$70,000 to $79,999",470
G3H,"$80,000 to $89,999",340
G3H,"$90,000 to $99,999",240
G3H,"$100,000 to $149,999",360
G3H,"$150,000 to $249,999",90
G3H,"$250,000 and over",30
G3J,"Under $5,000",330
G3J,"$5,000 to $9,999",310
G3J,"$10,000 to $14,999",430
G3J,"$15,000 to $19,999",490
G3J,"$20,000 to $24,999",510
G3J,"$25,000 to $29,999",440
G3J,"$30,000 to $34,999",480
G3J,"$35,000 to $39,999",550
G3J,"$40,000 to $44,999",530
G3J,"$45,000 to $49,999",580
G3J,"$50,000 to $54,999",510
G3J,"$55,000 to $59,999",430
G3J,"$60,000 to $69,999",760
G3J,"$70,000 to $79,999",650
G3J,"$80,000 to $89,999",420
G3J,"$90,000 to $99,999",250
G3J,"$100,000 to $149,999",390
G3J,"$150,000 to $249,999",70
G3J,"$250,000 and over",20
G3K,"Under $5,000",590
G3K,"$5,000 to $9,999",630
G3K,"$10,000 to $14,999",770
G3K,"$15,000 to $19,999",820
G3K,"$20,000 to $24,999",810
G3K,"$25,000 to $29,999",700
G3K,"$30,000 to $34,999",800
G3K,"$35,000 to $39,999",900
G3K,"$40,000 to $44,999",930
G3K,"$45,000 to $49,999",980
G3K,"$50,000 to $54,999",860
G3K,"$55,000 to $59,999",840
G3K,"$60,000 to $69,999",1490
G3K,"$70,000 to $79,999",1170
G3K,"$80,000 to $89,999",900
G3K,"$90,000 to $99,999",580
G3K,"$100,000 to $149,999",810
G3K,"$150,000 to $249,999",140
G3K,"$250,000 and over",50
G3L,"Under $5,000",360
G3L,"$5,000 to $9,999",420
G3L,"$10,000 to $14,999",710
G3L,"$15,000 to $19,999",860
G3L,"$20,000 to $24,999",890
G3L,"$25,000 to $29,999",580
G3L,"$30,000 to $34,999",570
G3L,"$35,000 to $39,999",650
G3L,"$40,000 to $44,999",590
G3L,"$45,000 to $49,999",560
G3L,"$50,000 to $54,999",460
G3L,"$55,000 to $59,999",390
G3L,"$60,000 to $69,999",630
G3L,"$70,000 to $79,999",460
G3L,"$80,000 to $89,999",290
G3L,"$90,000 to $99,999",190
G3L,"$100,000 to $149,999",270
G3L,"$150,000 to $249,999",80
G3L,"$250,000 and over",30
G3M,"Under $5,000",200
G3M,"$5,000 to $9,999",270
G3M,"$10,000 to $14,999",410
G3M,"$15,000 to $19,999",460
G3M,"$20,000 to $24,999",650
G3M,"$25,000 to $29,999",420
G3M,"$30,000 to $34,999",400
G3M,"$35,000 to $39,999",400
G3M,"$40,000 to $44,999",350
G3M,"$45,000 to $49,999",380
G3M,"$50,000 to $54,999",280
G3M,"$55,000 to $59,999",220
G3M,"$60,000 to $69,999",320
G3M,"$70,000 to $79,999",270
G3M,"$80,000 to $89,999",200
G3M,"$90,000 to $99,999",110
G3M,"$100,000 to $149,999",240
G3M,"$150,000 to $249,999",70
G3M,"$250,000 and over",10
G3N,"Under $5,000",330
G3N,"$5,000 to $9,999",300
G3N,"$10,000 to $14,999",360
G3N,"$15,000 to $19,999",440
G3N,"$20,000 to $24,999",450
G3N,"$25,000 to $29,999",370
G3N,"$30,000 to $34,999",430
G3N,"$35,000 to $39,999",450
G3N,"$40,000 to $44,999",510
G3N,"$45,000 to $49,999",470
G3N,"$50,000 to $54,999",440
G3N,"$55,000 to $59,999",420
G3N,"$60,000 to $69,999",770
G3N,"$70,000 to $79,999",720
G3N,"$80,000 to $89,999",500
G3N,"$90,000 to $99,999",280
G3N,"$100,000 to $149,999",480
G3N,"$150,000 to $249,999",150
G3N,"$250,000 and over",80
G3S,"Under $5,000",210
G3S,"$5,000 to $9,999",160
G3S,"$10,000 to $14,999",190
G3S,"$15,000 to $19,999",190
G3S,"$20,000 to $24,999",180
G3S,"$25,000 to $29,999",160
G3S,"$30,000 to $34,999",190
G3S,"$35,000 to $39,999",200
G3S,"$40,000 to $44,999",210
G3S,"$45,000 to $49,999",230
G3S,"$50,000 to $54,999",200
G3S,"$55,000 to $59,999",230
G3S,"$60,000 to $69,999",500
G3S,"$70,000 to $79,999",490
G3S,"$80,000 to $89,999",330
G3S,"$90,000 to $99,999",190
G3S,"$100,000 to $149,999",300
G3S,"$150,000 to $249,999",70
G3S,"$250,000 and over",20
G3Z,"Under $5,000",250
G3Z,"$5,000 to $9,999",310
G3Z,"$10,000 to $14,999",470
G3Z,"$15,000 to $19,999",680
G3Z,"$20,000 to $24,999",650
G3Z,"$25,000 to $29,999",450
G3Z,"$30,000 to $34,999",460
G3Z,"$35,000 to $39,999",440
G3Z,"$40,000 to $44,999",450
G3Z,"$45,000 to $49,999",370
G3Z,"$50,000 to $54,999",290
G3Z,"$55,000 to $59,999",240
G3Z,"$60,000 to $69,999",370
G3Z,"$70,000 to $79,999",280
G3Z,"$80,000 to $89,999",180
G3Z,"$90,000 to $99,999",90
G3Z,"$100,000 to $149,999",200
G3Z,"$150,000 to $249,999",80
G3Z,"$250,000 and over",40
G4A,"Under $5,000",90
G4A,"$5,000 to $9,999",130
G4A,"$10,000 to $14,999",170
G4A,"$15,000 to $19,999",240
G4A,"$20,000 to $24,999",280
G4A,"$25,000 to $29,999",190
G4A,"$30,000 to $34,999",200
G4A,"$35,000 to $39,999",210
G4A,"$40,000 to $44,999",200
G4A,"$45,000 to $49,999",180
G4A,"$50,000 to $54,999",150
G4A,"$55,000 to $59,999",110
G4A,"$60,000 to $69,999",140
G4A,"$70,000 to $79,999",90
G4A,"$80,000 to $89,999",60
G4A,"$90,000 to $99,999",50
G4A,"$100,000 to $149,999",80
G4A,"$150,000 to $249,999",20
G4A,"$250,000 and over",10
G4R,"Under $5,000",1800
G4R,"$5,000 to $9,999",850
G4R,"$10,000 to $14,999",1070
G4R,"$15,000 to $19,999",1070
G4R,"$20,000 to $24,999",1180
G4R,"$25,000 to $29,999",840
G4R,"$30,000 to $34,999",830
G4R,"$35,000 to $39,999",750
G4R,"$40,000 to $44,999",700
G4R,"$45,000 to $49,999",720
G4R,"$50,000 to $54,999",600
G4R,"$55,000 to $59,999",530
G4R,"$60,000 to $69,999",880
G4R,"$70,000 to $79,999",650
G4R,"$80,000 to $89,999",560
G4R,"$90,000 to $99,999",440
G4R,"$100,000 to $149,999",1550
G4R,"$150,000 to $249,999",460
G4R,"$250,000 and over",130
G4S,"Under $5,000",260
G4S,"$5,000 to $9,999",190
G4S,"$10,000 to $14,999",260
G4S,"$15,000 to $19,999",250
G4S,"$20,000 to $24,999",280
G4S,"$25,000 to $29,999",230
G4S,"$30,000 to $34,999",260
G4S,"$35,000 to $39,999",230
G4S,"$40,000 to $44,999",270
G4S,"$45,000 to $49,999",230
G4S,"$50,000 to $54,999",170
G4S,"$55,000 to $59,999",190
G4S,"$60,000 to $69,999",260
G4S,"$70,000 to $79,999",220
G4S,"$80,000 to $89,999",150
G4S,"$90,000 to $99,999",120
G4S,"$100,000 to $149,999",390
G4S,"$150,000 to $249,999",70
G4S,"$250,000 and over",10
G4T,"Under $5,000",350
G4T,"$5,000 to $9,999",440
G4T,"$10,000 to $14,999",930
G4T,"$15,000 to $19,999",1090
G4T,"$20,000 to $24,999",920
G4T,"$25,000 to $29,999",810
G4T,"$30,000 to $34,999",930
G4T,"$35,000 to $39,999",1080
G4T,"$40,000 to $44,999",780
G4T,"$45,000 to $49,999",680
G4T,"$50,000 to $54,999",550
G4T,"$55,000 to $59,999",400
G4T,"$60,000 to $69,999",560
G4T,"$70,000 to $79,999",410
G4T,"$80,000 to $89,999",320
G4T,"$90,000 to $99,999",230
G4T,"$100,000 to $149,999",470
G4T,"$150,000 to $249,999",230
G4T,"$250,000 and over",50
G4V,"Under $5,000",270
G4V,"$5,000 to $9,999",350
G4V,"$10,000 to $14,999",630
G4V,"$15,000 to $19,999",770
G4V,"$20,000 to $24,999",620
G4V,"$25,000 to $29,999",400
G4V,"$30,000 to $34,999",390
G4V,"$35,000 to $39,999",380
G4V,"$40,000 to $44,999",300
G4V,"$45,000 to $49,999",280
G4V,"$50,000 to $54,999",190
G4V,"$55,000 to $59,999",170
G4V,"$60,000 to $69,999",260
G4V,"$70,000 to $79,999",150
G4V,"$80,000 to $89,999",140
G4V,"$90,000 to $99,999",60
G4V,"$100,000 to $149,999",140
G4V,"$150,000 to $249,999",40
G4V,"$250,000 and over",10
G4W,"Under $5,000",490
G4W,"$5,000 to $9,999",640
G4W,"$10,000 to $14,999",1080
G4W,"$15,000 to $19,999",1390
G4W,"$20,000 to $24,999",1310
G4W,"$25,000 to $29,999",800
G4W,"$30,000 to $34,999",800
G4W,"$35,000 to $39,999",770
G4W,"$40,000 to $44,999",740
G4W,"$45,000 to $49,999",750
G4W,"$50,000 to $54,999",610
G4W,"$55,000 to $59,999",420
G4W,"$60,000 to $69,999",640
G4W,"$70,000 to $79,999",420
G4W,"$80,000 to $89,999",360
G4W,"$90,000 to $99,999",240
G4W,"$100,000 to $149,999",400
G4W,"$150,000 to $249,999",120
G4W,"$250,000 and over",40
G4X,"Under $5,000",570
G4X,"$5,000 to $9,999",720
G4X,"$10,000 to $14,999",980
G4X,"$15,000 to $19,999",1170
G4X,"$20,000 to $24,999",1070
G4X,"$25,000 to $29,999",820
G4X,"$30,000 to $34,999",890
G4X,"$35,000 to $39,999",880
G4X,"$40,000 to $44,999",910
G4X,"$45,000 to $49,999",830
G4X,"$50,000 to $54,999",720
G4X,"$55,000 to $59,999",550
G4X,"$60,000 to $69,999",820
G4X,"$70,000 to $79,999",510
G4X,"$80,000 to $89,999",430
G4X,"$90,000 to $99,999",230
G4X,"$100,000 to $149,999",390
G4X,"$150,000 to $249,999",140
G4X,"$250,000 and over",50
G4Z,"Under $5,000",340
G4Z,"$5,000 to $9,999",300
G4Z,"$10,000 to $14,999",430
G4Z,"$15,000 to $19,999",460
G4Z,"$20,000 to $24,999",570
G4Z,"$25,000 to $29,999",410
G4Z,"$30,000 to $34,999",450
G4Z,"$35,000 to $39,999",510
G4Z,"$40,000 to $44,999",490
G4Z,"$45,000 to $49,999",500
G4Z,"$50,000 to $54,999",420
G4Z,"$55,000 to $59,999",330
G4Z,"$60,000 to $69,999",500
G4Z,"$70,000 to $79,999",430
G4Z,"$80,000 to $89,999",390
G4Z,"$90,000 to $99,999",300
G4Z,"$100,000 to $149,999",700
G4Z,"$150,000 to $249,999",150
G4Z,"$250,000 and over",40
G5A,"Under $5,000",310
G5A,"$5,000 to $9,999",360
G5A,"$10,000 to $14,999",600
G5A,"$15,000 to $19,999",720
G5A,"$20,000 to $24,999",750
G5A,"$25,000 to $29,999",550
G5A,"$30,000 to $34,999",500
G5A,"$35,000 to $39,999",520
G5A,"$40,000 to $44,999",510
G5A,"$45,000 to $49,999",440
G5A,"$50,000 to $54,999",330
G5A,"$55,000 to $59,999",270
G5A,"$60,000 to $69,999",380
G5A,"$70,000 to $79,999",250
G5A,"$80,000 to $89,999",190
G5A,"$90,000 to $99,999",120
G5A,"$100,000 to $149,999",200
G5A,"$150,000 to $249,999",60
G5A,"$250,000 and over",30
G5B,"Under $5,000",290
G5B,"$5,000 to $9,999",230
G5B,"$10,000 to $14,999",350
G5B,"$15,000 to $19,999",340
G5B,"$20,000 to $24,999",340
G5B,"$25,000 to $29,999",280
G5B,"$30,000 to $34,999",270
G5B,"$35,000 to $39,999",250
G5B,"$40,000 to $44,999",210
G5B,"$45,000 to $49,999",230
G5B,"$50,000 to $54,999",200
G5B,"$55,000 to $59,999",140
G5B,"$60,000 to $69,999",260
G5B,"$70,000 to $79,999",230
G5B,"$80,000 to $89,999",220
G5B,"$90,000 to $99,999",150
G5B,"$100,000 to $149,999",640
G5B,"$150,000 to $249,999",200
G5B,"$250,000 and over",20
G5C,"Under $5,000",350
G5C,"$5,000 to $9,999",470
G5C,"$10,000 to $14,999",680
G5C,"$15,000 to $19,999",730
G5C,"$20,000 to $24,999",920
G5C,"$25,000 to $29,999",620
G5C,"$30,000 to $34,999",560
G5C,"$35,000 to $39,999",620
G5C,"$40,000 to $44,999",570
G5C,"$45,000 to $49,999",550
G5C,"$50,000 to $54,999",440
G5C,"$55,000 to $59,999",400
G5C,"$60,000 to $69,999",580
G5C,"$70,000 to $79,999",450
G5C,"$80,000 to $89,999",360
G5C,"$90,000 to $99,999",330
G5C,"$100,000 to $149,999",770
G5C,"$150,000 to $249,999",120
G5C,"$250,000 and over",40
G5H,"Under $5,000",260
G5H,"$5,000 to $9,999",290
G5H,"$10,000 to $14,999",620
G5H,"$15,000 to $19,999",730
G5H,"$20,000 to $24,999",650
G5H,"$25,000 to $29,999",410
G5H,"$30,000 to $34,999",400
G5H,"$35,000 to $39,999",340
G5H,"$40,000 to $44,999",320
G5H,"$45,000 to $49,999",290
G5H,"$50,000 to $54,999",200
G5H,"$55,000 to $59,999",180
G5H,"$60,000 to $69,999",290
G5H,"$70,000 to $79,999",200
G5H,"$80,000 to $89,999",140
G5H,"$90,000 to $99,999",70
G5H,"$100,000 to $149,999",140
G5H,"$150,000 to $249,999",30
G5H,"$250,000 and over",10
G5J,"Under $5,000",210
G5J,"$5,000 to $9,999",270
G5J,"$10,000 to $14,999",490
G5J,"$15,000 to $19,999",600
G5J,"$20,000 to $24,999",590
G5J,"$25,000 to $29,999",370
G5J,"$30,000 to $34,999",290
G5J,"$35,000 to $39,999",290
G5J,"$40,000 to $44,999",310
G5J,"$45,000 to $49,999",320
G5J,"$50,000 to $54,999",210
G5J,"$55,000 to $59,999",190
G5J,"$60,000 to $69,999",260
G5J,"$70,000 to $79,999",230
G5J,"$80,000 to $89,999",190
G5J,"$90,000 to $99,999",80
G5J,"$100,000 to $149,999",150
G5J,"$150,000 to $249,999",60
G5J,"$250,000 and over",20
G5L,"Under $5,000",1100
G5L,"$5,000 to $9,999",1210
G5L,"$10,000 to $14,999",2030
G5L,"$15,000 to $19,999",2530
G5L,"$20,000 to $24,999",2650
G5L,"$25,000 to $29,999",1860
G5L,"$30,000 to $34,999",1740
G5L,"$35,000 to $39,999",1740
G5L,"$40,000 to $44,999",1560
G5L,"$45,000 to $49,999",1520
G5L,"$50,000 to $54,999",1120
G5L,"$55,000 to $59,999",970
G5L,"$60,000 to $69,999",1370
G5L,"$70,000 to $79,999",970
G5L,"$80,000 to $89,999",730
G5L,"$90,000 to $99,999",420
G5L,"$100,000 to $149,999",770
G5L,"$150,000 to $249,999",230
G5L,"$250,000 and over",120
G5M,"Under $5,000",240
G5M,"$5,000 to $9,999",280
G5M,"$10,000 to $14,999",420
G5M,"$15,000 to $19,999",450
G5M,"$20,000 to $24,999",430
G5M,"$25,000 to $29,999",430
G5M,"$30,000 to $34,999",400
G5M,"$35,000 to $39,999",470
G5M,"$40,000 to $44,999",480
G5M,"$45,000 to $49,999",470
G5M,"$50,000 to $54,999",410
G5M,"$55,000 to $59,999",350
G5M,"$60,000 to $69,999",560
G5M,"$70,000 to $79,999",470
G5M,"$80,000 to $89,999",370
G5M,"$90,000 to $99,999",250
G5M,"$100,000 to $149,999",470
G5M,"$150,000 to $249,999",110
G5M,"$250,000 and over",50
G5N,"Under $5,000",270
G5N,"$5,000 to $9,999",280
G5N,"$10,000 to $14,999",420
G5N,"$15,000 to $19,999",430
G5N,"$20,000 to $24,999",480
G5N,"$25,000 to $29,999",380
G5N,"$30,000 to $34,999",400
G5N,"$35,000 to $39,999",450
G5N,"$40,000 to $44,999",420
G5N,"$45,000 to $49,999",450
G5N,"$50,000 to $54,999",370
G5N,"$55,000 to $59,999",340
G5N,"$60,000 to $69,999",570
G5N,"$70,000 to $79,999",420
G5N,"$80,000 to $89,999",360
G5N,"$90,000 to $99,999",210
G5N,"$100,000 to $149,999",390
G5N,"$150,000 to $249,999",150
G5N,"$250,000 and over",70
G5R,"Under $5,000",640
G5R,"$5,000 to $9,999",770
G5R,"$10,000 to $14,999",1350
G5R,"$15,000 to $19,999",1610
G5R,"$20,000 to $24,999",1700
G5R,"$25,000 to $29,999",1190
G5R,"$30,000 to $34,999",1250
G5R,"$35,000 to $39,999",1220
G5R,"$40,000 to $44,999",1090
G5R,"$45,000 to $49,999",1000
G5R,"$50,000 to $54,999",860
G5R,"$55,000 to $59,999",710
G5R,"$60,000 to $69,999",1030
G5R,"$70,000 to $79,999",700
G5R,"$80,000 to $89,999",590
G5R,"$90,000 to $99,999",280
G5R,"$100,000 to $149,999",600
G5R,"$150,000 to $249,999",190
G5R,"$250,000 and over",110
G5T,"Under $5,000",100
G5T,"$5,000 to $9,999",140
G5T,"$10,000 to $14,999",250
G5T,"$15,000 to $19,999",250
G5T,"$20,000 to $24,999",300
G5T,"$25,000 to $29,999",190
G5T,"$30,000 to $34,999",190
G5T,"$35,000 to $39,999",150
G5T,"$40,000 to $44,999",150
G5T,"$45,000 to $49,999",170
G5T,"$50,000 to $54,999",130
G5T,"$55,000 to $59,999",90
G5T,"$60,000 to $69,999",110
G5T,"$70,000 to $79,999",80
G5T,"$80,000 to $89,999",60
G5T,"$90,000 to $99,999",30
G5T,"$100,000 to $149,999",50
G5T,"$150,000 to $249,999",20
G5T,"$250,000 and over",0
G5V,"Under $5,000",420
G5V,"$5,000 to $9,999",460
G5V,"$10,000 to $14,999",900
G5V,"$15,000 to $19,999",1000
G5V,"$20,000 to $24,999",1070
G5V,"$25,000 to $29,999",710
G5V,"$30,000 to $34,999",710
G5V,"$35,000 to $39,999",770
G5V,"$40,000 to $44,999",700
G5V,"$45,000 to $49,999",620
G5V,"$50,000 to $54,999",460
G5V,"$55,000 to $59,999",370
G5V,"$60,000 to $69,999",470
G5V,"$70,000 to $79,999",320
G5V,"$80,000 to $89,999",250
G5V,"$90,000 to $99,999",130
G5V,"$100,000 to $149,999",230
G5V,"$150,000 to $249,999",70
G5V,"$250,000 and over",40
G5X,"Under $5,000",220
G5X,"$5,000 to $9,999",220
G5X,"$10,000 to $14,999",440
G5X,"$15,000 to $19,999",510
G5X,"$20,000 to $24,999",510
G5X,"$25,000 to $29,999",350
G5X,"$30,000 to $34,999",340
G5X,"$35,000 to $39,999",390
G5X,"$40,000 to $44,999",350
G5X,"$45,000 to $49,999",320
G5X,"$50,000 to $54,999",260
G5X,"$55,000 to $59,999",230
G5X,"$60,000 to $69,999",290
G5X,"$70,000 to $79,999",210
G5X,"$80,000 to $89,999",160
G5X,"$90,000 to $99,999",80
G5X,"$100,000 to $149,999",150
G5X,"$150,000 to $249,999",40
G5X,"$250,000 and over",20
G5Y,"Under $5,000",790
G5Y,"$5,000 to $9,999",950
G5Y,"$10,000 to $14,999",1980
G5Y,"$15,000 to $19,999",1960
G5Y,"$20,000 to $24,999",2070
G5Y,"$25,000 to $29,999",1490
G5Y,"$30,000 to $34,999",1380
G5Y,"$35,000 to $39,999",1300
G5Y,"$40,000 to $44,999",1320
G5Y,"$45,000 to $49,999",1230
G5Y,"$50,000 to $54,999",980
G5Y,"$55,000 to $59,999",820
G5Y,"$60,000 to $69,999",1150
G5Y,"$70,000 to $79,999",800
G5Y,"$80,000 to $89,999",560
G5Y,"$90,000 to $99,999",320
G5Y,"$100,000 to $149,999",510
G5Y,"$150,000 to $249,999",160
G5Y,"$250,000 and over",90
G5Z,"Under $5,000",240
G5Z,"$5,000 to $9,999",260
G5Z,"$10,000 to $14,999",430
G5Z,"$15,000 to $19,999",460
G5Z,"$20,000 to $24,999",460
G5Z,"$25,000 to $29,999",380
G5Z,"$30,000 to $34,999",350
G5Z,"$35,000 to $39,999",350
G5Z,"$40,000 to $44,999",370
G5Z,"$45,000 to $49,999",360
G5Z,"$50,000 to $54,999",280
G5Z,"$55,000 to $59,999",280
G5Z,"$60,000 to $69,999",420
G5Z,"$70,000 to $79,999",360
G5Z,"$80,000 to $89,999",230
G5Z,"$90,000 to $99,999",130
G5Z,"$100,000 to $149,999",250
G5Z,"$150,000 to $249,999",90
G5Z,"$250,000 and over",60
G6A,"Under $5,000",80
G6A,"$5,000 to $9,999",90
G6A,"$10,000 to $14,999",140
G6A,"$15,000 to $19,999",90
G6A,"$20,000 to $24,999",100
G6A,"$25,000 to $29,999",110
G6A,"$30,000 to $34,999",110
G6A,"$35,000 to $39,999",100
G6A,"$40,000 to $44,999",90
G6A,"$45,000 to $49,999",110
G6A,"$50,000 to $54,999",100
G6A,"$55,000 to $59,999",90
G6A,"$60,000 to $69,999",160
G6A,"$70,000 to $79,999",130
G6A,"$80,000 to $89,999",110
G6A,"$90,000 to $99,999",50
G6A,"$100,000 to $149,999",100
G6A,"$150,000 to $249,999",40
G6A,"$250,000 and over",20
G6B,"Under $5,000",240
G6B,"$5,000 to $9,999",410
G6B,"$10,000 to $14,999",600
G6B,"$15,000 to $19,999",740
G6B,"$20,000 to $24,999",820
G6B,"$25,000 to $29,999",500
G6B,"$30,000 to $34,999",490
G6B,"$35,000 to $39,999",420
G6B,"$40,000 to $44,999",490
G6B,"$45,000 to $49,999",420
G6B,"$50,000 to $54,999",330
G6B,"$55,000 to $59,999",280
G6B,"$60,000 to $69,999",390
G6B,"$70,000 to $79,999",270
G6B,"$80,000 to $89,999",210
G6B,"$90,000 to $99,999",90
G6B,"$100,000 to $149,999",180
G6B,"$150,000 to $249,999",60
G6B,"$250,000 and over",30
G6C,"Under $5,000",210
G6C,"$5,000 to $9,999",230
G6C,"$10,000 to $14,999",400
G6C,"$15,000 to $19,999",380
G6C,"$20,000 to $24,999",390
G6C,"$25,000 to $29,999",350
G6C,"$30,000 to $34,999",360
G6C,"$35,000 to $39,999",420
G6C,"$40,000 to $44,999",420
G6C,"$45,000 to $49,999",450
G6C,"$50,000 to $54,999",350
G6C,"$55,000 to $59,999",320
G6C,"$60,000 to $69,999",520
G6C,"$70,000 to $79,999",390
G6C,"$80,000 to $89,999",300
G6C,"$90,000 to $99,999",180
G6C,"$100,000 to $149,999",320
G6C,"$150,000 to $249,999",110
G6C,"$250,000 and over",30
G6E,"Under $5,000",360
G6E,"$5,000 to $9,999",490
G6E,"$10,000 to $14,999",800
G6E,"$15,000 to $19,999",900
