FSA,Bracket,Number
A0E,"$90,000 to $99,999",400
A0E,"$100,000 to $149,999",1040
A0E,"$150,000 to $249,999",320
A0E,"$250,000 and over",40
A0G,"Under $5,000",2040
A0G,"$5,000 to $9,999",1630
A0G,"$10,000 to $14,999",3480
A0G,"$15,000 to $19,999",4340
A0G,"$20,000 to $24,999",3350
A0G,"$25,000 to $29,999",2300
A0G,"$30,000 to $34,999",2160
A0G,"$35,000 to $39,999",1930
A0G,"$40,000 to $44,999",1610
A0G,"$45,000 to $49,999",1290
A0G,"$50,000 to $54,999",1070
A0G,"$55,000 to $59,999",860
A0G,"$60,000 to $69,999",1230
A0G,"$70,000 to $79,999",820
A0G,"$80,000 to $89,999",610
A0G,"$90,000 to $99,999",480
A0G,"$100,000 to $149,999",1060
A0G,"$150,000 to $249,999",320
A0G,"$250,000 and over",60
A0H,"Under $5,000",1470
A0H,"$5,000 to $9,999",940
A0H,"$10,000 to $14,999",1630
A0H,"$15,000 to $19,999",1980
A0H,"$20,000 to $24,999",1780
A0H,"$25,000 to $29,999",1120
A0H,"$30,000 to $34,999",1000
A0H,"$35,000 to $39,999",920
A0H,"$40,000 to $44,999",760
A0H,"$45,000 to $49,999",620
A0H,"$50,000 to $54,999",530
A0H,"$55,000 to $59,999",440
A0H,"$60,000 to $69,999",620
A0H,"$70,000 to $79,999",410
A0H,"$80,000 to $89,999",280
A0H,"$90,000 to $99,999",210
A0H,"$100,000 to $149,999",560
A0H,"$150,000 to $249,999",100
A0H,"$250,000 and over",30
A0J,"Under $5,000",500
A0J,"$5,000 to $9,999",430
A0J,"$10,000 to $14,999",800
A0J,"$15,000 to $19,999",980
A0J,"$20,000 to $24,999",820
A0J,"$25,000 to $29,999",540
A0J,"$30,000 to $34,999",390
A0J,"$35,000 to $39,999",350
A0J,"$40,000 to $44,999",310
A0J,"$45,000 to $49,999",300
A0J,"$50,000 to $54,999",210
A0J,"$55,000 to $59,999",150
A0J,"$60,000 to $69,999",290
A0J,"$70,000 to $79,999",190
A0J,"$80,000 to $89,999",160
A0J,"$90,000 to $99,999",130
A0J,"$100,000 to $149,999",280
A0J,"$150,000 to $249,999",120
A0J,"$250,000 and over",20
A0K,"Under $5,000",1180
A0K,"$5,000 to $9,999",1120
A0K,"$10,000 to $14,999",2220
A0K,"$15,000 to $19,999",3010
A0K,"$20,000 to $24,999",2320
