fsa,characteristic_id,characteristic_name,count_total,rate_total
B2J,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",,
B2J,1999,"  No certificate, diploma or degree",,
B2J,2000,  High (secondary) school diploma or equivalency certificate,,
B2J,2001,"  Postsecondary certificate, diploma or degree",,
B2J,2002,    Postsecondary certificate or diploma below bachelor level,,
B2J,2008,    Bachelor's degree or higher,,
B2J,2009,      Bachelor's degree,,
B2J,2012,      Master's degree,,
B2J,2013,      Earned doctorate,,
B2N,1,"Population, 2021",20816.0,
B2N,8,Total - Age groups of the population - 100% data,20815.0,100.0
B2N,9,  0 to 14 years,2795.0,13.4
B2N,13,  15 to 64 years,12690.0,61.0
B2N,24,  65 years and over,5335.0,25.6
B2N,25,    65 to 69 years,1420.0,6.8
B2N,26,    70 to 74 years,1280.0,6.1
B2N,27,    75 to 79 years,990.0,4.8
B2N,28,    80 to 84 years,785.0,3.8
B2N,29,    85 years and over,865.0,4.2
B2N,30,      85 to 89 years,530.0,2.5
B2N,40,Median age of the population,47.2,47.2
B2N,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,20340.0,100.0
B2N,386,  English and French,1385.0,6.8
B2N,1414,Total - Private households by tenure - 25% sample data,9925.0,100.0
B2N,1415,  Owner,4750.0,47.9
B2N,1416,  Renter,4970.0,50.1
B2N,1486,  Median monthly shelter costs for owned dwellings ($),880.0,880.0
B2N,1488,  Median value of dwellings ($),200000.0,200000.0
B2N,1494,  Median monthly shelter costs for rented dwellings ($),870.0,870.0
B2N,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",17550.0,100.0
B2N,1999,"  No certificate, diploma or degree",3385.0,19.3
B2N,2000,  High (secondary) school diploma or equivalency certificate,5430.0,30.9
B2N,2001,"  Postsecondary certificate, diploma or degree",8730.0,49.7
B2N,2002,    Postsecondary certificate or diploma below bachelor level,5120.0,29.2
B2N,2008,    Bachelor's degree or higher,3610.0,20.6
B2N,2009,      Bachelor's degree,2345.0,13.4
B2N,2012,      Master's degree,870.0,5.0
B2N,2013,      Earned doctorate,70.0,0.4
B2R,1,"Population, 2021",2553.0,
B2R,8,Total - Age groups of the population - 100% data,2550.0,100.0
B2R,9,  0 to 14 years,385.0,15.1
B2R,13,  15 to 64 years,1645.0,64.5
B2R,24,  65 years and over,520.0,20.4
B2R,25,    65 to 69 years,180.0,7.1
B2R,26,    70 to 74 years,145.0,5.7
B2R,27,    75 to 79 years,105.0,4.1
B2R,28,    80 to 84 years,40.0,1.6
B2R,29,    85 years and over,45.0,1.8
B2R,30,      85 to 89 years,40.0,1.6
B2R,40,Median age of the population,46.8,46.8
B2R,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,2550.0,100.0
B2R,386,  English and French,325.0,12.7
B2R,1414,Total - Private households by tenure - 25% sample data,1020.0,100.0
B2R,1415,  Owner,910.0,89.2
B2R,1416,  Renter,110.0,10.8
B2R,1486,  Median monthly shelter costs for owned dwellings ($),1390.0,1390.0
B2R,1488,  Median value of dwellings ($),400000.0,400000.0
B2R,1494,  Median monthly shelter costs for rented dwellings ($),1150.0,1150.0
B2R,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",2195.0,100.0
B2R,1999,"  No certificate, diploma or degree",140.0,6.4
B2R,2000,  High (secondary) school diploma or equivalency certificate,465.0,21.2
B2R,2001,"  Postsecondary certificate, diploma or degree",1580.0,72.0
B2R,2002,    Postsecondary certificate or diploma below bachelor level,740.0,33.7
B2R,2008,    Bachelor's degree or higher,845.0,38.5
B2R,2009,      Bachelor's degree,510.0,23.2
B2R,2012,      Master's degree,180.0,8.2
B2R,2013,      Earned doctorate,20.0,0.9
B2S,1,"Population, 2021",8011.0,
B2S,8,Total - Age groups of the population - 100% data,8010.0,100.0
B2S,9,  0 to 14 years,1430.0,17.9
B2S,13,  15 to 64 years,5340.0,66.7
B2S,24,  65 years and over,1240.0,15.5
B2S,25,    65 to 69 years,475.0,5.9
B2S,26,    70 to 74 years,320.0,4.0
B2S,27,    75 to 79 years,205.0,2.6
B2S,28,    80 to 84 years,140.0,1.7
B2S,29,    85 years and over,105.0,1.3
B2S,30,      85 to 89 years,70.0,0.9
B2S,40,Median age of the population,42.4,42.4
B2S,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,7995.0,100.0
B2S,386,  English and French,655.0,8.2
B2S,1414,Total - Private households by tenure - 25% sample data,3170.0,100.0
B2S,1415,  Owner,2480.0,78.2
B2S,1416,  Renter,690.0,21.8
B2S,1486,  Median monthly shelter costs for owned dwellings ($),1290.0,1290.0
B2S,1488,  Median value of dwellings ($),300000.0,300000.0
B2S,1494,  Median monthly shelter costs for rented dwellings ($),1110.0,1110.0
B2S,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",6590.0,100.0
B2S,1999,"  No certificate, diploma or degree",1070.0,16.2
B2S,2000,  High (secondary) school diploma or equivalency certificate,1970.0,29.9
B2S,2001,"  Postsecondary certificate, diploma or degree",3555.0,53.9
B2S,2002,    Postsecondary certificate or diploma below bachelor level,2560.0,38.8
B2S,2008,    Bachelor's degree or higher,995.0,15.1
B2S,2009,      Bachelor's degree,750.0,11.4
B2S,2012,      Master's degree,140.0,2.1
B2S,2013,      Earned doctorate,10.0,0.2
B2T,1,"Population, 2021",17780.0,
B2T,8,Total - Age groups of the population - 100% data,17780.0,100.0
B2T,9,  0 to 14 years,3130.0,17.6
B2T,13,  15 to 64 years,12100.0,68.1
B2T,24,  65 years and over,2545.0,14.3
B2T,25,    65 to 69 years,1005.0,5.7
B2T,26,    70 to 74 years,740.0,4.2
B2T,27,    75 to 79 years,425.0,2.4
B2T,28,    80 to 84 years,220.0,1.2
B2T,29,    85 years and over,145.0,0.8
B2T,30,      85 to 89 years,95.0,0.5
B2T,40,Median age of the population,43.2,43.2
B2T,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,17780.0,100.0
B2T,386,  English and French,2190.0,12.3
B2T,1414,Total - Private households by tenure - 25% sample data,6640.0,100.0
B2T,1415,  Owner,5685.0,85.6
B2T,1416,  Renter,950.0,14.3
B2T,1486,  Median monthly shelter costs for owned dwellings ($),1470.0,1470.0
B2T,1488,  Median value of dwellings ($),400000.0,400000.0
B2T,1494,  Median monthly shelter costs for rented dwellings ($),1130.0,1130.0
B2T,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",14775.0,100.0
B2T,1999,"  No certificate, diploma or degree",1715.0,11.6
B2T,2000,  High (secondary) school diploma or equivalency certificate,3860.0,26.1
B2T,2001,"  Postsecondary certificate, diploma or degree",9200.0,62.3
B2T,2002,    Postsecondary certificate or diploma below bachelor level,4845.0,32.8
B2T,2008,    Bachelor's degree or higher,4360.0,29.5
B2T,2009,      Bachelor's degree,2920.0,19.8
B2T,2012,      Master's degree,925.0,6.3
B2T,2013,      Earned doctorate,90.0,0.6
B2V,1,"Population, 2021",12252.0,
B2V,8,Total - Age groups of the population - 100% data,12250.0,100.0
B2V,9,  0 to 14 years,2095.0,17.1
B2V,13,  15 to 64 years,7970.0,65.1
B2V,24,  65 years and over,2190.0,17.9
B2V,25,    65 to 69 years,800.0,6.5
B2V,26,    70 to 74 years,685.0,5.6
B2V,27,    75 to 79 years,410.0,3.3
B2V,28,    80 to 84 years,175.0,1.4
B2V,29,    85 years and over,130.0,1.1
