timestamp_utc,timestamp_local,group,trips_tracked,trips_canceled,delays_observed,mean_delay_s,median_delay_s,p90_delay_s,pct_early,pct_ontime,pct_late,error
2026-07-12T20:15:02Z,2026-07-12T16:15:02-0400,all,345,3,0,,,,,,,
2026-07-12T20:15:02Z,2026-07-12T16:15:02-0400,bus,345,3,0,,,,,,,
2026-07-12T20:15:02Z,2026-07-12T16:15:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T20:15:02Z,2026-07-12T16:15:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T20:30:01Z,2026-07-12T16:30:01-0400,all,338,2,0,,,,,,,
2026-07-12T20:30:01Z,2026-07-12T16:30:01-0400,bus,338,2,0,,,,,,,
2026-07-12T20:30:01Z,2026-07-12T16:30:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T20:30:01Z,2026-07-12T16:30:01-0400,unknown,0,0,0,,,,,,,
2026-07-12T20:45:01Z,2026-07-12T16:45:01-0400,all,342,2,0,,,,,,,
2026-07-12T20:45:01Z,2026-07-12T16:45:01-0400,bus,342,2,0,,,,,,,
2026-07-12T20:45:01Z,2026-07-12T16:45:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T20:45:01Z,2026-07-12T16:45:01-0400,unknown,0,0,0,,,,,,,
2026-07-12T21:00:02Z,2026-07-12T17:00:02-0400,all,330,3,0,,,,,,,
2026-07-12T21:00:02Z,2026-07-12T17:00:02-0400,bus,330,3,0,,,,,,,
2026-07-12T21:00:02Z,2026-07-12T17:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T21:00:02Z,2026-07-12T17:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T21:15:02Z,2026-07-12T17:15:02-0400,all,314,3,0,,,,,,,
2026-07-12T21:15:02Z,2026-07-12T17:15:02-0400,bus,314,3,0,,,,,,,
2026-07-12T21:15:02Z,2026-07-12T17:15:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T21:15:02Z,2026-07-12T17:15:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T21:30:02Z,2026-07-12T17:30:02-0400,all,310,3,0,,,,,,,
2026-07-12T21:30:02Z,2026-07-12T17:30:02-0400,bus,310,3,0,,,,,,,
2026-07-12T21:30:02Z,2026-07-12T17:30:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T21:30:02Z,2026-07-12T17:30:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T21:45:02Z,2026-07-12T17:45:02-0400,all,313,4,0,,,,,,,
2026-07-12T21:45:02Z,2026-07-12T17:45:02-0400,bus,313,4,0,,,,,,,
2026-07-12T21:45:02Z,2026-07-12T17:45:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T21:45:02Z,2026-07-12T17:45:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T22:00:02Z,2026-07-12T18:00:02-0400,all,300,0,0,,,,,,,
